version,Engine_commit,Snapshot_Hash
3.19.4,a5c24f538d05aaf66f7972fb23959d8cafb9f95a,ee1eb666c76a5cb7746faf39d0b97547
3.21.0-0.0.pre,0d4f78c952552819753a2676b318e181004ba746,75f170bc3de3cc2026e3e159bef60351
3.19.3,2e4ba9c6fb499ccd4e81420543783cc7267ae406,ee1eb666c76a5cb7746faf39d0b97547
3.19.2,04817c99c9fd4956f27505204f7e344335810aed,ee1eb666c76a5cb7746faf39d0b97547
3.20.0-1.2.pre,299e852cb92f27c16c9bee98c4ff3a5dc5b4dfae,de526b6b436ed4145f228d96208f3c94
3.19.1,04817c99c9fd4956f27505204f7e344335810aed,ee1eb666c76a5cb7746faf39d0b97547
3.20.0-1.1.pre,9869d47a2736e75470985949137241c48457bf50,de526b6b436ed4145f228d96208f3c94
3.19.0,04817c99c9fd4956f27505204f7e344335810aed,ee1eb666c76a5cb7746faf39d0b97547
3.19.0-0.4.pre,98820f0a7716715df150f6adc5edd3444a088196,ee1eb666c76a5cb7746faf39d0b97547
3.19.0-0.3.pre,968e2945c75c817f594e2e737bdd7bf68cba6bc0,ee1eb666c76a5cb7746faf39d0b97547
3.16.9,f40e976bedff57e69e1b3d89a7c2a3c617a03dad,f71c76320d35b65f1164dbaa6d95fe09
3.19.0-0.2.pre,4f18bb4dcb99d7e0d94aeff2ffa74e6ddef301cd,2fbca81aa1c7c6f0f5181417a7970d07
3.16.8,6e2ea58a5ccbefcfadc2d4b7b8045fc6c20ab812,f71c76320d35b65f1164dbaa6d95fe09
3.16.7,4a585b79294e830fa89c24924d58a27cc8fbf406,f71c76320d35b65f1164dbaa6d95fe09
3.19.0-0.1.pre,bbebee146508eb837aadb52388069f1fb4037a55,2fbca81aa1c7c6f0f5181417a7970d07
3.16.6,3f3e560236539b7e2702f5ac790b2a4691b32d49,f71c76320d35b65f1164dbaa6d95fe09
3.16.5,3f3e560236539b7e2702f5ac790b2a4691b32d49,f71c76320d35b65f1164dbaa6d95fe09
3.18.0-0.2.pre,39c6dc9bdd3ba2bc387e6e14b72fce5f46abfcae,8b43434a6666a4f8eb2de8ecf8be4f82
3.16.4,54a7145303f0dd9d0f93424a2e124eb4abef5091,f71c76320d35b65f1164dbaa6d95fe09
3.16.3,54a7145303f0dd9d0f93424a2e124eb4abef5091,f71c76320d35b65f1164dbaa6d95fe09
3.18.0-0.1.pre,69f0e5550702bb81458a1987f3054085aeb8353d,8b43434a6666a4f8eb2de8ecf8be4f82
3.16.2,cf7a9d0800f2a5da166dbe0eb9fb2476018269b1,f71c76320d35b65f1164dbaa6d95fe09
3.17.0-0.0.pre,dff66925dcfaced89a892b75a695b2d05a676c5e,2445dfd4be914b9035e6646f36970b3c
3.16.1,22b600f240548c1cf6f5d3f9ae65a5c9e51bc443,f71c76320d35b65f1164dbaa6d95fe09
3.17.0-0.0.pre,dff66925dcfaced89a892b75a695b2d05a676c5e,2445dfd4be914b9035e6646f36970b3c
3.16.0,74d16627b940bb15e50891f82cad6c3e3465bd6d,f71c76320d35b65f1164dbaa6d95fe09
3.16.0-0.5.pre,ab14aba1d5564df418f0e87f6772916c80a9a00a,f71c76320d35b65f1164dbaa6d95fe09
3.16.0-0.4.pre,abdaabc6dc88e20dd0fe290a2d3dfcac03b2706f,f71c76320d35b65f1164dbaa6d95fe09
3.13.9,0545f8705df301877d787107bac1a6e9fc9ee1ad,7dbbeeb8ef7b91338640dca3927636de
3.16.0-0.3.pre,91cde06da08323f25bd4bcc4a1832862f2b58c08,f71c76320d35b65f1164dbaa6d95fe09
3.13.8,767d8c75e898091b925519803830fc2721658d07,7dbbeeb8ef7b91338640dca3927636de
3.16.0-0.2.pre,249cc9b86c45acb7e32b4097bc8a5059b91c888e,f71c76320d35b65f1164dbaa6d95fe09
3.13.7,a794cf2681c6c9fe7b260e0e84de96298dc9c18b,7dbbeeb8ef7b91338640dca3927636de
3.16.0-0.1.pre,7ccdde78a7d174dc0bf0be77102b205e844c7998,f105cf3d66970fb41bf76f12d9b38f6d
3.13.6,a794cf2681c6c9fe7b260e0e84de96298dc9c18b,7dbbeeb8ef7b91338640dca3927636de
3.15.0-15.2.pre,453411bcf3961fef3e6caa57a04e7fc3e9faa037,fd89ca26d38c62af5c097a16d3418736
3.13.5,bd986c5ed20a62dc34b7718c50abc782beae4c33,7dbbeeb8ef7b91338640dca3927636de
3.15.0-15.1.pre,5c861944948efff4217b5f1fe1d04d23de39d54c,fd89ca26d38c62af5c097a16d3418736
3.13.4,9064459a8b0dcd32877107f6002cc429a71659d1,7dbbeeb8ef7b91338640dca3927636de
3.13.3,17a711a7765a198264b20d8c4983f2f6f1271271,7dbbeeb8ef7b91338640dca3927636de
3.13.3,b8d35810e91ab8fc39ba5e7a41bff6f697e8e3a8,7dbbeeb8ef7b91338640dca3927636de
3.14.0-0.2.pre,b93c76ab94207adc619e02b061f864e967983c22,b63f41229f2d3db31322b62c3d39978a
3.13.2,b20183e04096094bcc37d9cde2a4b96f5cc684cf,7dbbeeb8ef7b91338640dca3927636de
3.13.1,b20183e04096094bcc37d9cde2a4b96f5cc684cf,7dbbeeb8ef7b91338640dca3927636de
3.14.0-0.1.pre,f613b678245991e74839f201ecd3f22b75465813,b63f41229f2d3db31322b62c3d39978a
3.13.0,1ac611c64eadbd93c5f5aba5494b8fc3b35ee952,7dbbeeb8ef7b91338640dca3927636de
3.13.0-0.4.pre,73d89ca7c5a20cbddde69ab1a6dff8fe3ecbfd70,7dbbeeb8ef7b91338640dca3927636de
3.13.0-0.3.pre,c1f977f72b68da673ec493ab5df0beacacc7a88b,7dbbeeb8ef7b91338640dca3927636de
3.13.0-0.2.pre,e14db68a86199a9fa5fd9628d8e290aafc0f6917,7dbbeeb8ef7b91338640dca3927636de
3.10.6,cdbeda788a293fa29665dc3fa3d6e63bd221cb0d,90b56a561f70cd55e972cb49b79b3d8b
3.13.0-0.1.pre,ae470c12d363f9b7c6ace259891b783b0fab64dc,7dbbeeb8ef7b91338640dca3927636de
3.12.0-1.1.pre,45712dd2f120092ca3c78d0098b12f0079fd966d,16ad76edd19b537bf6ea64fdd31977a7
3.10.5,45f6e009110df4f34ec2cf99f63cf73b71b7a420,90b56a561f70cd55e972cb49b79b3d8b
3.12.0,b84ad1ad30cca8d303b4bcb2bbd77573e4d66122,16ad76edd19b537bf6ea64fdd31977a7
3.10.4,2a3401c9bbb5a9a9aec74d4f735d18a9dd3ebf2d,90b56a561f70cd55e972cb49b79b3d8b
3.10.3,2a3401c9bbb5a9a9aec74d4f735d18a9dd3ebf2d,90b56a561f70cd55e972cb49b79b3d8b
3.11.0-0.1.pre,7eca5cd1c5cca97929a7c8ea4381441447a36f26,36b0375d284ee2af0d0fffc6e6e48fde
3.10.2,90fa3ae28fe6ddaee1af2c120f01e50201c1401b,aa64af18e7d086041ac127cc4bc50c5e
3.10.1,b4fb11214dd2dda6ce012dd98ea498e9e8b91262,aa64af18e7d086041ac127cc4bc50c5e
3.11.0-0.0.pre,992cdb6cd409a30ebf91a33841575a1c7fd1bb1d,36b0375d284ee2af0d0fffc6e6e48fde
3.10.0,d44b5a94c976fbb65815374f61ab5392a220b084,aa64af18e7d086041ac127cc4bc50c5e
3.10.0-1.5.pre,50e509c2bd0d7788feb675e38321cc5711c8d2d6,aa64af18e7d086041ac127cc4bc50c5e
3.10.0-1.4.pre,f7ac42e8a273548af89f8b005179bf2b4b1bb2f1,aa64af18e7d086041ac127cc4bc50c5e
3.7.12,1a65d409c7a1438a34d21b60bf30a6fd5db59314,adb4292f3ec25074ca70abcd2d5c7251
3.10.0-1.3.pre,a645b36a9b8133090a73112cb03b09fb58a5c506,aa64af18e7d086041ac127cc4bc50c5e
3.10.0-1.1.pre,870e640e7edb592a4022fa41e794a10e292955d4,aa64af18e7d086041ac127cc4bc50c5e
3.7.11,1a65d409c7a1438a34d21b60bf30a6fd5db59314,adb4292f3ec25074ca70abcd2d5c7251
3.7.10,ec975089acb540fc60752606a3d3ba809dd1528b,adb4292f3ec25074ca70abcd2d5c7251
3.7.9,ec975089acb540fc60752606a3d3ba809dd1528b,adb4292f3ec25074ca70abcd2d5c7251
3.9.0-0.2.pre,1cc4b2d280f5705c7901c10676eae8bdb3142631,618084be871d017013dc342a8ecadba6
3.7.8,9aa7816315095c86410527932918c718cb35e7d6,adb4292f3ec25074ca70abcd2d5c7251
3.9.0-0.1.pre,dec409804a77c9fc71d894d8c818682c744c78b6,618084be871d017013dc342a8ecadba6
3.7.7,1837b5be5f0f1376a1ccf383950e83a80177fb4e,adb4292f3ec25074ca70abcd2d5c7251
3.7.6,ada363ee93b17cfe31587b5102679885cb40837e,adb4292f3ec25074ca70abcd2d5c7251
3.7.5,0f359063c487ee70787e58b4b011cbb3c2f53fd6,adb4292f3ec25074ca70abcd2d5c7251
3.7.4,248290d6d50a1bf1a6a246544347c03acda867a5,adb4292f3ec25074ca70abcd2d5c7251
3.8.0-10.1.pre,639e313f998a27ae82a876e1c6c1374afae6f843,8860f13fdeacf945548b94e3293739dc
3.7.3,248290d6d50a1bf1a6a246544347c03acda867a5,adb4292f3ec25074ca70abcd2d5c7251
3.7.2,f40b73f8a4d5bc2bf50b21e3c0fb478b8f282486,adb4292f3ec25074ca70abcd2d5c7251
3.7.1,800594f1f4a6674010a6f1603c07a919b4d7ebd7,adb4292f3ec25074ca70abcd2d5c7251
3.7.0,b24591ed328a2d4ce6505819e2f5898a78132f7f,501ef5cbd64ca70b6b42672346af6a8a
3.7.0-1.5.pre,45c5586f2a9583d9511b742703529a92bf8f9db5,501ef5cbd64ca70b6b42672346af6a8a
3.3.10,3316dd8728419ad3534e3f6112aa6291f587078a,b6d0a1f034d158b0d37b51d559379697
3.7.0-1.4.pre,ac5c83dd5ff1ddfae2f642401f67db550428aee3,501ef5cbd64ca70b6b42672346af6a8a
3.7.0-1.3.pre,7b8906637ffd2b4cfde561f40a6f4eaab6bade13,501ef5cbd64ca70b6b42672346af6a8a
3.7.0-1.2.pre,8c99b0feaf9715af490612f00954c6a76374a907,501ef5cbd64ca70b6b42672346af6a8a
3.7.0-1.1.pre,4971c5b2e7e66cb7abc858b4e0203ce7d39f6ff1,c7dc2f8f88f49836586d90b0dbf9d45d
3.3.9,8f2221fbef28b478debb78dd233f5250b220ca99,b0e899ec5a90e4661501f0b69e9dd70f
3.6.0-0.1.pre,b754eabc98fb5dc75d90b8b5fca440ce8aac4c44,1bd8ca171064c8b8d387e47f96375a6f
3.3.8,857bd6b74c5eb56151bfafe91e7fa6a82b6fee25,b0e899ec5a90e4661501f0b69e9dd70f
3.3.7,857bd6b74c5eb56151bfafe91e7fa6a82b6fee25,b0e899ec5a90e4661501f0b69e9dd70f
3.3.6,3ad69d7be3a7231aab5525db322fc699f098315f,b0e899ec5a90e4661501f0b69e9dd70f
3.3.5,3ad69d7be3a7231aab5525db322fc699f098315f,b0e899ec5a90e4661501f0b69e9dd70f
3.4.0-34.1.pre,db0cbb2145c227cdac34b7a6a866e274f06e6e12,b6a1c0b8562a7680adedfbb8fcc5a065
3.3.4,c08d7d5efc9aa6eb3c30cfb3be6dc09bca5e7631,b0e899ec5a90e4661501f0b69e9dd70f
3.3.3,5c984c26ebc4a0a8897305d3c6bef70ced91090d,b0e899ec5a90e4661501f0b69e9dd70f
3.4.0-17.2.pre,3950c6140a3f1cb295364b0446627bd3a1736915,1044d5d7857485639caee4798a5dcbb7
3.4.0-17.1.pre,9b2472da99dd27fd1cd817ae47cd2e3328d1049b,1044d5d7857485639caee4798a5dcbb7
3.3.2,a4ff2c53d84ca78702bc3be6c7ef0788ffca01d3,b0e899ec5a90e4661501f0b69e9dd70f
3.3.1,3efdf03e73dd352873fc5a7e1c0de04e52863b3a,b0e899ec5a90e4661501f0b69e9dd70f
3.3.0,5e9e0e0aa8be4ff69facadd706b713f0bb54d5b3,b0e899ec5a90e4661501f0b69e9dd70f
3.3.0-0.5.pre,ad3d868e0d174f5a8447b011bd714d18a5f2abec,b0e899ec5a90e4661501f0b69e9dd70f
3.3.0-0.4.pre,ad3d868e0d174f5a8447b011bd714d18a5f2abec,b0e899ec5a90e4661501f0b69e9dd70f
3.3.0-0.3.pre,f16e757d5d68c164d084b61d84e3b7cd14eacba9,b0e899ec5a90e4661501f0b69e9dd70f
3.3.0-0.2.pre,d1e7dc18bf272f7f2be1c9094307fa0462787ff2,b0e899ec5a90e4661501f0b69e9dd70f
3.3.0-0.1.pre,fd131c385ee2a2d0484c49ed859911798e4e177b,b0e899ec5a90e4661501f0b69e9dd70f
3.3.0-0.0.pre,1388adb442192ce155630eeb6806b74db07dd15e,b0e899ec5a90e4661501f0b69e9dd70f
3.0.5,e85ea0e79c6d894c120cda4ee8ee10fe6745e187,1441d6b13b8623fa7fbf61433abebd31
3.0.4,6ba2af10bb05c88a2731482cedf2cfd11cf5af0b,1441d6b13b8623fa7fbf61433abebd31
3.0.3,ffe7b86a1e5b5cb63c8385ae1adc759e372ee8f4,1441d6b13b8623fa7fbf61433abebd31
3.1.0-9.0.pre,74ee6b5afd8d7c3f7c66efa1a2a384e15267f9be,8e50e448b241be23b9e990094f4dca39
3.0.2,f15f824b57476e369b5e656f53d4c431c5b04b9a,1441d6b13b8623fa7fbf61433abebd31
3.1.0,44e5b38ee83a1282981a30abc08ffcf6cd0e44bd,6a9b5a03a7e784a4558b10c769f188d9
3.0.1,caaafc5604ee9172293eb84a381be6aadd660317,1441d6b13b8623fa7fbf61433abebd31
3.0.0,d1b9a6938ad77326ac3a94d92bbc77933ed829ed,1441d6b13b8623fa7fbf61433abebd31
2.13.0-0.4.pre,c5caf749fe75db788dba8def502c46c094435605,1441d6b13b8623fa7fbf61433abebd31
2.13.0-0.3.pre,3096903c8923608d3c1ccf8058a29c31a2bfbc53,1441d6b13b8623fa7fbf61433abebd31
2.13.0-0.2.pre,24a02fa5ee681840cdc842c22f4cb4bdd5ec3115,1441d6b13b8623fa7fbf61433abebd31
2.10.5,57d3bac3dd5cb5b0e464ab70e7bc8a0d8cf083ab,d56742caf7b3b3f4bd2df93a9bbb5503
2.13.0-0.1.pre,499984f99cfe01e3b69d962ec4847f70c4317694,1441d6b13b8623fa7fbf61433abebd31
2.13.0-0.1.pre,499984f99cfe01e3b69d962ec4847f70c4317694,1441d6b13b8623fa7fbf61433abebd31
2.12.0-4.2.pre,486f4a749e532b865d5d24990d865f7d902b8fb3,a0cb0c928b23bc17a26e062b351dc44d
2.10.4,57d3bac3dd5cb5b0e464ab70e7bc8a0d8cf083ab,d56742caf7b3b3f4bd2df93a9bbb5503
2.12.0-4.1.pre,e9f57b5d0f56ea3288c7206f56717ca19ffe5358,a0cb0c928b23bc17a26e062b351dc44d
2.10.3,bd539267b42051b0da3d16ffa8f48949dce8aa8f,d56742caf7b3b3f4bd2df93a9bbb5503
2.10.2,a83ed0e5e3b9cd2b5e2f07ef31c72f43c55e93b7,d56742caf7b3b3f4bd2df93a9bbb5503
2.11.0-0.1.pre,e3559935720ea88dfcdf9079c394ffdb5146ceab,ded6ef11c73fdc638d6ff6d3ad22a67b
2.11.0-0.1.pre,e3559935720ea88dfcdf9079c394ffdb5146ceab,ded6ef11c73fdc638d6ff6d3ad22a67b
2.10.1,ab46186b246f5a36bd1f3f295d14a43abb1e2f38,d56742caf7b3b3f4bd2df93a9bbb5503
2.10.0,776efd2034d50af73e2876d703213601df384e88,d56742caf7b3b3f4bd2df93a9bbb5503
2.10.0-0.3.pre,5ac30ef0c70b76c5d5b5465b0ad4f08d5433684f,d56742caf7b3b3f4bd2df93a9bbb5503
2.10.0-0.3.pre,5ac30ef0c70b76c5d5b5465b0ad4f08d5433684f,d56742caf7b3b3f4bd2df93a9bbb5503
2.10.0-0.2.pre,74b74b10ea6764e373ca2bcb420fdb4a6f6b5918,d56742caf7b3b3f4bd2df93a9bbb5503
2.10.0-0.2.pre,74b74b10ea6764e373ca2bcb420fdb4a6f6b5918,d56742caf7b3b3f4bd2df93a9bbb5503
2.10.0-0.1.pre,63ca99584a1aef79722b2a7c6414570b54416bab,d56742caf7b3b3f4bd2df93a9bbb5503
2.10.0-0.1.pre,63ca99584a1aef79722b2a7c6414570b54416bab,d56742caf7b3b3f4bd2df93a9bbb5503
2.8.1,890a5fca2e34db413be624fc83aeea8e61d42ce6,adf563436d12ba0d50ea5beb7f3be1bb
2.9.0-0.1.pre,234aca678a2fb70ff2659870186f97c32f8894f4,3318fe66091c0ffbb64faec39976cb7d
2.9.0-0.1.pre,234aca678a2fb70ff2659870186f97c32f8894f4,3318fe66091c0ffbb64faec39976cb7d
2.8.0,40a99c595137e4b2f5b2efa8ff343ea23c1e16b8,adf563436d12ba0d50ea5beb7f3be1bb
2.8.0-3.3.pre,06a7363b0cfd4092fe06eb80f829b5fbc94fd32a,adf563436d12ba0d50ea5beb7f3be1bb
2.8.0-3.2.pre,bcc2b7f12cada3d1359e353c416568b4c3f6df69,adf563436d12ba0d50ea5beb7f3be1bb
2.8.0-3.1.pre,09f1520e8b9585d133faf1eccced9357670c6d11,adf563436d12ba0d50ea5beb7f3be1bb
2.7.0-3.1.pre,a75e3b80f9c1ffb30bbe736c5a42e4a815a79197,24d9d411c2f90c8fbe8907f99e89d4b0
2.7.0-3.0.pre,bbba2b2437d739a455ecafb66a22a46d31b233ed,24d9d411c2f90c8fbe8907f99e89d4b0
2.5.3,d3ea636dc5d16b56819f3266241e1f708979c233,9cf77f4405212c45daf608e1cd646852
2.5.2,6ac856380fa4f66469552ce986edf59f65f7cd68,9cf77f4405212c45daf608e1cd646852
2.6.0-11.0.pre,5b81c6d615c395d70f7032763aa8e89f16fb2bdd,f1db3415a45bf430607898342ec95936
2.5.1,b3af521a050e6ef076778bcaf16e27b2521df8f8,9cf77f4405212c45daf608e1cd646852
2.6.0-5.2.pre,1d521d89d8d98f27be4e0ff84d5c6b72dbdc91ca,f10776149bf76be288def3c2ca73bdc1
2.6.0-5.1.pre,0bd9be379a17d0e22d1f4fc1e562dbc9e6978832,f10776149bf76be288def3c2ca73bdc1
2.5.0,f0826da7ef2d301eb8f4ead91aaf026aa2b52881,9cf77f4405212c45daf608e1cd646852
2.5.0,f0826da7ef2d301eb8f4ead91aaf026aa2b52881,9cf77f4405212c45daf608e1cd646852
2.5.0-5.3.pre,fcde2c8b2f0891c80e1f0f794bc7c26dd50f2949,9cf77f4405212c45daf608e1cd646852
2.6.0-0.0.pre,d5adde01dd672ba4f6819d85218beb01142dca27,f2ed175878eb1ab377414135b301edb8
2.5.0-5.2.pre,7a4c4505f6a7a1aa758d62b58150dce43cfa473f,9cf77f4405212c45daf608e1cd646852
2.5.0-6.0.pre,07ec4b82c71ce2f34c72caeaf061f7ad82cb25e4,47d2fd85fe2d669fbde6102e01968b36
2.5.0-5.1.pre,fbeb7e22bd6d594a16c487cc138970fbd2a77d40,9cf77f4405212c45daf608e1cd646852
2.5.0-5.0.pre,a0d89b1a543d3db982744179d846fb8e8397e889,b555f636e5ed67c4cd65ec7250ff2930
2.5.0-1.0.pre,a877f6fed68e1b961f76ec0fece9e7c684679e75,0ace76156789dce96e2a5d89e2895a4b
2.4.0-4.2.pre,844c29f42a614420b2205c178f22d30b43a8b0bb,659a72e41e3276e882709901c27de33d
2.4.0-4.1.pre,ed25e8f01efe6e778cdc65a1858ba3c5ce629786,659a72e41e3276e882709901c27de33d
2.4.0-4.0.pre,ed25e8f01efe6e778cdc65a1858ba3c5ce629786,659a72e41e3276e882709901c27de33d
2.4.0-0.0.pre,c633b2a6a04ffe81308cdd8916c062725a8ed1e1,179244c371e0a111ba4142c8cdd14de1
2.2.3,241c87ad800beeab545ab867354d4683d5bfb6ce,e4a09dbf2bb120fe4674e0576617a0dc
2.3.0-24.1.pre,9d517f475ba1282b619477bde8e708d6a34287cf,7a5b240780941844bae88eca5dbaa7b8
2.3.0-24.0.pre,ddbac024d165c373396e1f125666848d1539a38d,7a5b240780941844bae88eca5dbaa7b8
2.2.2,91c9fc8fe011352879e3bb6660966eafc0847233,e4a09dbf2bb120fe4674e0576617a0dc
2.2.2,91c9fc8fe011352879e3bb6660966eafc0847233,e4a09dbf2bb120fe4674e0576617a0dc
2.3.0-16.0.pre,2f067fc4c57d53e565532f4e188c947fe48cd57d,b94a04a25144701785e6e30df9f2d66d
2.2.1,0fdb562ac8068ce3dda6b69aca3f355f4d1d2718,e4a09dbf2bb120fe4674e0576617a0dc
2.2.0,a9d88a4d182bdae23e3a4989abfb7ea25954aad1,e4a09dbf2bb120fe4674e0576617a0dc
2.3.0-12.1.pre,26e217e6c3d487bb3c0cbf8a7edb378952a51d33,03e6d2a403f559edb69f9e16146a50f2
2.2.0,a9d88a4d182bdae23e3a4989abfb7ea25954aad1,e4a09dbf2bb120fe4674e0576617a0dc
2.3.0-1.0.pre,e7939e091e2c995db93e8febd2814e9235225925,960c5f6e01bf057848eae4f97e563a36
2.2.0-10.3.pre,a123e75c6082da3a08f229b9c565e64b5b24a8a3,e4a09dbf2bb120fe4674e0576617a0dc
2.0.6,05e680e202af9a92461070cb2d9982acad46c83c,5b97292b25f0a715613b7a28e0734f77
2.2.0-10.2.pre,91ed51e05c68efdbddf642735f164fc914358cff,e4a09dbf2bb120fe4674e0576617a0dc
2.3.0-0.1.pre,de6e1adf9730aad8e531690d2b3752b663ebbdaa,e89bb14ef57e26574631b8178f11ee79
2.0.5,b09f014e9658da6647361e7e416d1a159d34192d,5b97292b25f0a715613b7a28e0734f77
2.2.0-10.1.pre,d2a2e93510ad6cfc3d62a90d903b7056e4da8264,34f6eec64e9371856eaaa278ccf56538
2.2.0-10.1.pre,d2a2e93510ad6cfc3d62a90d903b7056e4da8264,34f6eec64e9371856eaaa278ccf56538
2.0.4,2dce47073a378673f6ca095e91b8065544c3a881,5b97292b25f0a715613b7a28e0734f77
2.0.3,3459eb24361807fb186953a864cf890fa8e9d26a,5b97292b25f0a715613b7a28e0734f77
2.1.0-12.2.pre,711ab3fda05004ee5f6035f2a0bf099fca39a129,39a9141bbcc3cae43e6f9f6b7fbaafe3
2.0.2,5d8bf811b3072390933d69f3e289a4bb673636c4,5b97292b25f0a715613b7a28e0734f77
2.1.0-12.1.pre,711ab3fda05004ee5f6035f2a0bf099fca39a129,39a9141bbcc3cae43e6f9f6b7fbaafe3
2.0.2,5d8bf811b3072390933d69f3e289a4bb673636c4,5b97292b25f0a715613b7a28e0734f77
2.0.1,40441def692f444660a11e20fac37af9050245ab,5b97292b25f0a715613b7a28e0734f77
2.0.1,40441def692f444660a11e20fac37af9050245ab,5b97292b25f0a715613b7a28e0734f77
2.1.0-10.0.pre,a252ec09b74cca0f8d8d3450566bf77c77f81e8d,f6a6cef736ffc4c3af80bffd37d6e45b
2.0.0,40441def692f444660a11e20fac37af9050245ab,5b97292b25f0a715613b7a28e0734f77
2.0.0,40441def692f444660a11e20fac37af9050245ab,5b97292b25f0a715613b7a28e0734f77
1.26.0-17.8.pre,042c82b02c83c20e57a67d86a8d3b7677d983556,5b97292b25f0a715613b7a28e0734f77
1.27.0-8.0.pre,6993cb229b99e6771c6c6c2b884ae006d8160a0f,e8b7543ba0865c5bac45bf158bb3d4c1
